セッションID,協力者ID,会話ID,会話概要,形式,場所,活動,話者間の関係性,収録年,会話時間,話者数,コア,備考,split,,,,,,
C001_002,C001,C001_002,友人宅で友人と雑談,雑談,室内_友人知人宅,休息,友人知人,2016年,17,2,0,会話[C001_001]のあと、協力者は友人の家に泊まり、起床後に会話。友人の趣味であるトライアスロンや使用する用具、ルールなどについて話している。,,,,split数,割合,split時間,
C001_003,C001,C001_003,自宅で友人に仕事について相談,用談・相談,自宅,休息,友人知人,2016年,46,2,0,友人は協力者の自宅に泊まりに来た。友人がスイーツ好きであることから、協力者が仕事で行なっている地方の特産品を使った主にスイーツを中心とする商品開発について相談している。,,,train,211,80.2%,4556,85.0%
C001_004,C001,C001_004,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2016年,17,2,0,2人は同じ仕事に就いたばかりで仲がよい。タイムトラベルをしたとされる人物や政治資金などについて話している。,,,valid,13,4.9%,157,2.9%
C001_005,C001,C001_005,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年,17,2,0,実家を訪れた際、母と友人宅まで散歩。母は草花に詳しく、道端で見つけた草花を協力者に説明している。,test,,test,39,14.8%,646,12.1%
C001_006,C001,C001_006,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年,18,2,0,会話[C001_005]の友人宅からの帰り道の会話。結局、訪問した友人はおらず、そのまま帰る。道端で見つけた草花に関連することなどを話している。途中、近所に住む知人宅の犬に会いにいく。,,,total,263,,5359,
C001_012,C001,C001_012,同僚宅で同僚と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,同僚,2016年,39,2,1,2人は同じ仕事に就いたばかりで仲がよい。共通の知人である職場関係の人や、歴史上の人物、手作り石鹸などについて話している。,,,,,,,
C001_013,C001,C001_013,同僚宅で同僚と飲みながら,雑談,室内_友人知人宅,付き合い,同僚,2016年,34,2,0,2人は同じ仕事に就いたばかりで仲がよい。会話[C001_012]の食事のあとに飲みながら。前半では勤め先の同僚について、関連組織に所属する人たちについて話している。,,,,,,,
C002_003,C002,C002_003,自宅で配偶者とテレビを見ながら朝食,雑談,自宅,食事,家族,2017年,9,2,1,夫が仕事に行く前に自宅のリビングでテレビを見ながら朝食。今日の予定や食事などについて。,,,,,,,
C002_004,C002,C002_004,自宅で息子とお茶をしながら,雑談,自宅,休息,家族,2017年,20,2,0,食べているお菓子の話や息子のアルバイトの話など。,,,,,,,
C002_005,C002,C002_005,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年,11,2,0,知人との待ち合わせのために夫と車で移動しながら知人のことなどについて雑談。,test,,,,,,
C002_008,C002,C002_008,買い物のため息子と車で移動中,雑談,交通機関_車,移動,家族,2017年,20,2,1,買い物のために息子が運転する車で移動。息子はよく両親のために車を運転する。,,,,,,,
C002_013,C002,C002_013a,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年,17,2,1,福祉施設にいる母を訪問。協力者や協力者の姉がよく訪問する。施設での生活の話や家族の話など。,,,,,,,
C002_013,C002,C002_013b,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年,12,2,0,福祉施設にいる母を訪問。協力者や協力者の姉がよく訪問する。施設での生活の話や家族の話など。,test,,,,,,
C002_016,C002,C002_016,飲食店で姉と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年,46,2,0,姉とはよく会って話す仲。お互いの子どもの話など。2人には同じ大学に通う年の近い息子がいる。,,,,,,,
K001_004,K001,K001_004,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年,17,2,0,昔の同僚で今も仲がよくプライベートでも付き合いのある元同僚(先輩)とお茶をしながら雑談。お互いの誕生日のエピソードや整理整頓などについて話している。,,,,,,,
K001_008,K001,K001_008,飲食店で姉とお茶をしながら,雑談,公共商業施設_飲食店,食事・付き合い,家族,2016年,19,2,1,2人はこの直前に同じ美容院に行ってきたところで、その帰りにカフェに寄った。協力者が数ヶ月前に行った海外旅行のことなどを話している。,,,,,,,
K001_009,K001,K001_009,友人と散歩しながら,雑談,屋外,移動・レジャー活動,友人知人,2016年,10,2,0,元同僚の子どもをベビーカーに乗せて、散歩しながら雑談。2人の元勤務先やそこでの同僚について、また子どもについて話している。,test,,,,,,
K001_010,K001,K001_010,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,27,2,0,仲のよい同僚と、職場や食について話している。同僚は食に関する仕事をしている。,,,,,,,
K001_011,K001,K001_011,自宅で友人と電話で旅行の相談,用談・相談,自宅,その他,友人知人,2016年,24,2,0,一緒に行く旅行に関する相談をするために、協力者が元同僚の友人に電話をかけた。2人は毎年長期休暇の際に一緒に旅行をしており、ここでは今年の旅行について相談している。この会話より前に話した際、旅行先などの希望についてお互い考えておくことを軽く約束していた。,,,,,,,
K001_014,K001,K001_014,飲食店で友人と旅行の相談,用談・相談,公共商業施設_飲食店,食事・その他,友人知人,2016年,51,2,1,友人はプライベートでも仲のよい元同僚。毎年一緒に行っている旅行について、主に宿泊先を相談している。これ以前にも電話などで旅行の相談を行なっている(会話[K001_011]はその1つ)。,,,,,,,
K001_017,K001,K001_017,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,34,2,0,収録の前の一年間、同じ職場で働いていた後輩で、今は別の職場となった。互いの近況報告や仕事について話している。,,,,,,,
K001_019,K001,K001_019,自宅で妹と電話で雑談,雑談,自宅,休息,家族,2016年,21,2,0,近々行く予定の旅行や仕事のこと、帰省の予定などについてとりとめもなく話している。,,,,,,,
K002_003,K002,K002_003a,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年,12,2,1,リフレクソロジーの資格取得のために、マッサージの実施とそのレポート作成が課題となっている知人が、協力者の店舗を訪れ、そこで協力者にマッサージを施しながら雑談をしている。,test,,,,,,
K002_003,K002,K002_003b,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年,24,2,0,リフレクソロジーの資格取得のために、マッサージの実施とそのレポート作成が課題となっている知人が、協力者の店舗を訪れ、そこで協力者にマッサージを施しながら雑談をしている。,,,,,,,
K002_004,K002,K002_004,自営店舗で仕事関係者と仕事の打合せ,用談・相談,職場,仕事,仕事関係,2016年,17,2,0,仕事関係者(IC02)はアクセサリーを作っており、協力者の店舗（レンタルスペース）で委託販売を始めた。今回が初めて。販売当日、協力者の店舗で、値段の設定や今後の展開などについて打合せをしている。,,,,,,,
K002_007,K002,K002_007,自宅で娘とスケジュールを確認しながら,用談・相談,自宅,家事雑事,家族,2016年,29,2,0,食事の準備や小学生の息子の塾の送り迎えなどのこともあり、普段から娘のスケジュールを確認している。,,,,,,,
K002_010,K002,K002_010,飲食店で友人と仕事の打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,友人知人,2016年,34,2,0,事業を行なっている友人と、今後何か新しいことができないかを、協力者の店舗で食事しながら相談している。,,,,,,,
K002_012,K002,K002_012,自営店舗で友人と雑談,雑談,職場,付き合い,友人知人,2016年,23,2,0,友人は仲がよく、よく遊びに来て雑談する。お互いの子どもや最近の出来事、共通の知人のことなどについて話している。途中で協力者の息子が学校から戻ってきて少し会話に加わる。友人と息子は顔馴染み。,,,,,,,
K002_016,K002,K002_016,宿泊施設のロビーで友人と雑談,雑談,公共商業施設_宿泊施設,休息,友人知人,2016年,27,2,0,夏期休暇で家族や友人と旅行中。この宿泊施設には何度か来ている。宿泊施設のロビーで、休憩しながら友人と2人でおしゃべりしている。2人ともハワイに何度も旅行した経験があり、主としてハワイについて語っている。,test,,,,,,
K003_002,K003,K003_002a,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年,14,2,0,卒業論文の実験の準備。幼児の人形に絵本の読み聞かせをする際に、幼児が笑うなどの反応を示す場合と無反応の場合で、読み聞かせをする大人の対応にどのような差があるかを調べるというもの。幼児の反応として笑い声や喃語などどのようなものがよいかを検討。ゼミの先生に実験の様子を伝えるため、友達にデモ撮影に協力してもらう。実際に絵本を読み聞かせている部分をカットしているため会話が4つ(a/b/c/d)に分かれている。,,,,,,,
K003_002,K003,K003_002b,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年,2,2,0,卒業論文の実験の準備。幼児の人形に絵本の読み聞かせをする際に、幼児が笑うなどの反応を示す場合と無反応の場合で、読み聞かせをする大人の対応にどのような差があるかを調べるというもの。幼児の反応として笑い声や喃語などどのようなものがよいかを検討。ゼミの先生に実験の様子を伝えるため、友達にデモ撮影に協力してもらう。実際に絵本を読み聞かせている部分をカットしているため会話が4つ(a/b/c/d)に分かれている。,,,,,,,
K003_002,K003,K003_002c,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年,13,2,0,卒業論文の実験の準備。幼児の人形に絵本の読み聞かせをする際に、幼児が笑うなどの反応を示す場合と無反応の場合で、読み聞かせをする大人の対応にどのような差があるかを調べるというもの。幼児の反応として笑い声や喃語などどのようなものがよいかを検討。ゼミの先生に実験の様子を伝えるため、友達にデモ撮影に協力してもらう。実際に絵本を読み聞かせている部分をカットしているため会話が4つ(a/b/c/d)に分かれている。,,,,,,,
K003_002,K003,K003_002d,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年,5,2,0,卒業論文の実験の準備。幼児の人形に絵本の読み聞かせをする際に、幼児が笑うなどの反応を示す場合と無反応の場合で、読み聞かせをする大人の対応にどのような差があるかを調べるというもの。幼児の反応として笑い声や喃語などどのようなものがよいかを検討。ゼミの先生に実験の様子を伝えるため、友達にデモ撮影に協力してもらう。実際に絵本を読み聞かせている部分をカットしているため会話が4つ(a/b/c/d)に分かれている。,,,,,,,
K003_003,K003,K003_003,母の店舗で母と店番をしながら,雑談,職場,休息,家族,2016年,21,2,0,母が経営する店舗で母と会話。母が腰掛けている正面の机はトールペイントの作業台。母の友人の依頼による表札や、この店舗用のドアプレートなどについて話している。,,,,,,,
K003_005,K003,K003_005,花火大会の会場で友人と雑談,用談・相談,屋外,レジャー活動,友人知人,2016年,52,2,0,花火大会の会場で花火が始まる前に話している。2人とも大学4年生。友人が就職について悩んでおり協力者が相談に乗っている。,,,,,,,
K003_006,K003,K003_006,大学で友人と実験計画について相談,用談・相談,学校,食事・学業,友人知人,2016年,20,2,1,協力者と友人は幼児に対する絵本の読み聞かせの対応差を見るという、共通した課題を卒論のテーマとしており、相談したり一緒に作業することがある。友人の実験は、聞き手の役を実際の幼児とし、聞き手の幼児が1名の場合と2名の場合で比較、あるいは聞き手の幼児が3歳の場合と5歳の場合で比較するというもの。まだ決めかねている。,test,,,,,,
K003_008,K003,K003_008,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年,22,2,0,高校時代の仲のよい友達とお茶しながらおしゃべり。2人とも虫歯で、その話で盛り上がっている。虫歯治療が終わったあとにしたいことや、高校時代の友人のことなどについて話している。,,,,,,,
K003_012,K003,K003_012a,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,12,2,0,高校時代の友人と野球観戦に行く予定だったが天候不順のため中止となりレストランで食事をすることとなった。野球の話や高校時代の話など。,,,,,,,
K003_012,K003,K003_012b,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,32,2,0,高校時代の友人と野球観戦に行く予定だったが天候不順のため中止となりレストランで食事をすることとなった。野球の話や高校時代の話など。,,,,,,,
K003_017,K003,K003_017,大学で友人と卒業論文の実験の準備,用談・相談,学校,学業,友人知人,2016年,20,2,0,協力者と友人は幼児に対する絵本の読み聞かせの対応差を見るという共通した課題を卒論のテーマとしており、一緒に実験の準備を進めている。作業中は雑談も多い。,,,,,,,
K004_001,K004,K004_001,自宅で母にお礼の電話,雑談,自宅,付き合い,家族,2017年,27,2,0,新潟に住む実家の母が送ってくれた洋服が届いたため、そのお礼に電話をかけた。お互いの近況報告など。,,,,,,,
K004_007,K004,K004_007,自宅で息子と椅子の座面の貼り替え,用談・相談,自宅,家事雑事,家族,2017年,44,2,0,自宅のリビングで、ダイニングテーブルの椅子の座面を貼り替える作業を長男と一緒に行っている。作業(布を切る・それを椅子にはってクギを打つ、など)は適宜分担しながら進めている。長男は家事雑事をよく手伝っている。,test,,,,,,
K004_011,K004,K004_011,自宅で息子とお菓子作り,用談・相談,自宅,家事雑事,家族,2017年,35,2,1,自宅のリビングで三男と新しい料理本を見ながらガトーショコラを作る。三男は甘いものが好きでお菓子作りを一緒にやることがある。,,,,,,,
K005_002,K005,K005_002,自宅で友人と料理をしながら,雑談,自宅,家事雑事,友人知人,2017年,19,2,0,友人とは、関わりのある福祉作業所を通じての十年来の付き合いがあり、頻繁に合っている。日本酒を飲みながら夕食のパスタを作り、作業所でのことなどを話している。,,,,,,,
K005_005,K005,K005_005,イベントスペースで友人にほうとう作りの相談,用談・相談,職場,その他,友人知人,2017年,15,2,0,仕事で働いているイベントスペースで友人がほうとう屋を出店している。協力者は自宅の教室で子どもたちに勉強を教える時にほうとうを一緒に作ることを考え、休み時間に、友人からほうとうの作り方を教えてもらっている。,,,,,,,
K005_006,K005,K005_006,福祉施設の部屋で祖母と昼食を取りながら,雑談,公共商業施設_医療福祉施設,食事,家族,2017年,23,2,0,母方の祖母をグループホームに訪ねて一緒に昼食をとっている。協力者が訪ねて来ることが伝わっておらず、祖母は先に昼食を食べてしまっていた。協力者が昼食の購入場所を迷った経緯や、母(祖母の娘)の買い物について話している。,,,,,,,
K005_016,K005,K005_016,自宅で友人と昼食について相談,用談・相談,自宅,その他,友人知人,2017年,19,2,0,自宅に泊まった大学時代の友人と朝食を食べた後、ランチを食べる場所について相談している。ランチには友人の交際相手も合流することになっている。,,,,,,,
K005_019,K005,K005_019a,実家でおじと電話で雑談,雑談,室内_実家,付き合い,親戚,2017年,1,2,0,会話aでは、おじ(父の弟)に電話をかけ、お土産のお礼を伝えている。一旦電話を切った後、会話bでは、おじから電話をもらい、北海道の様々な話や旅行について話をしている。,,,,,,,
K005_019,K005,K005_019b,実家でおじと電話で雑談,雑談,室内_実家,付き合い,親戚,2017年,12,2,0,会話aでは、おじ(父の弟)に電話をかけ、お土産のお礼を伝えている。一旦電話を切った後、会話bでは、おじから電話をもらい、北海道の様々な話や旅行について話をしている。,test,,,,,,
K005_020,K005,K005_020,実家で父とワークショップの準備をしながら,用談・相談,室内_実家,仕事・その他,家族,2017年,28,2,0,染めものワークショップの準備を実家で父に手伝ってもらっている。ガーランドを作るための生地をハサミで切っている。布用ハサミでないためにうまく切れないことや、この布をいくらで販売するかなどについて話している。,,,,,,,
K005_027,K005,K005_027,友人宅でパタンナーの友人にヘアバンド製作の相談,用談・相談,室内_友人知人宅,その他,仕事関係,2017年,44,2,0,以前にもヘアバンド(ターバン)の製作を依頼した友人に、新しい素材での製作について相談している。,,,,,,,
K005_028,K005,K005_028,味噌工房で友人と味噌作りをしながら,雑談,職場_相手の職場,付き合い・仕事,友人知人,2017年,28,2,0,味噌屋を営む友人の工房で味噌作りを手伝いながら、雑談したり、今後の活動について話をしている。,,,,,,,
K005_031,K005,K005_031,福祉作業所で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2017年,6,2,0,付き合いのある福祉作業所でスタッフである友人と近況報告。,,,,,,,
K005_033,K005,K005_033,自宅で友人と電話で品物受け渡しの相談,用談・相談,自宅,仕事,友人知人,2017年,11,2,0,味噌屋の友人とお互いの商品の受け渡しについて相談している。友人は同じイベントに出品する協力者に商品(麹)を託し、協力者は台湾にいく友人に商品を託す。,test,,,,,,
K006_002,K006,K006_002a,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年,6,2,0,会話aでは、東京の百貨店の話やそこで見たアーティストの話など、会話bでは、一日の予定などが話されている。会話bの最後の方では、結婚して独立した娘から電話がかかって来る。,,,,,,,
K006_002,K006,K006_002b,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2017年,5,2,0,会話aでは、東京の百貨店の話やそこで見たアーティストの話など、会話bでは、一日の予定などが話されている。会話bの最後の方では、結婚して独立した娘から電話がかかって来る。,,,,,,,
K006_003,K006,K006_003a,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年,4,2,0,夫の実家の初盆の話や観葉植物の話、食べ物の話など。,,,,,,,
K006_003,K006,K006_003b,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年,16,2,0,夫の実家の初盆の話や観葉植物の話、食べ物の話など。,,,,,,,
K006_006,K006,K006_006,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年,7,2,0,夫とショッピングのため車で移動中。道路の渋滞の話、昔のペットがかかった病気の話など。,,,,,,,
K006_009,K006,K006_009,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,食事・付き合い,仕事関係,2017年,20,2,0,知人は仕事関係の人で、仕事で来たおりに雑談になった。知人は書家で協力者も書に関心があることから、知人がやっている縄文文字についていろいろと聞いている。,,,,,,,
K006_011,K006,K006_011,レンタルスペースで娘と仕事の相談,用談・相談,職場,仕事,家族,2017年,9,2,0,娘は協力者の仕事のお手伝いをすることがあり、今日は仕事場で借りているレンタルスペースで支払いやその他の日程などについて相談している。客が入ってきたところで終わり。,test,,,,,,
K006_013,K006,K006_013,海岸で配偶者と犬の散歩をしながら,雑談,屋外,家事雑事・移動,家族,2017年,10,2,0,海岸に来て夫と一緒にペットの犬(うみちゃん)の散歩をしながら雑談。,,,,,,,
K006_016,K006,K006_016,自宅で友人と電話で出産祝いについて相談,用談・相談,自宅,付き合い,友人知人,2017年,25,2,0,大阪の幼馴染みが知人の出産祝いを何にしたらいいか、協力者に相談している。,,,,,,,
K006_018,K006,K006_018,自宅スクールで仕事関係者とお茶をしながら,雑談,職場,付き合い,仕事関係,2017年,23,2,0,ペットに関わる協力者の仕事のお手伝いをしている獣医の先生で、仕事関係の情報交換やお互いのペットのことなどについて話している。,,,,,,,
K006_020,K006,K006_020,自宅スクールで生徒である友人と講座について相談,用談・相談,職場,仕事,先生生徒,2017年,28,2,0,スクールの生徒である友人と久しぶりに再会。共に今後企画する講座について、雑談や協力者の経験談なども交えながら、相談している。,test,,,,,,
K006_023,K006,K006_023,自宅で友人とお茶をしながら,雑談,自宅,付き合い,友人知人,2017年,30,2,0,友人は勉強仲間で、大阪から遊びに来た。協力者の家にいる犬の話や、友人の手土産の話、大阪の地下鉄延伸の話などをしている。,,,,,,,
K007_001,K007,K007_001,飲食店で友人にグッズ制作の相談,用談・相談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年,16,2,0,久々に会った高校時代からの友人とファミレスで話している。気になるゲームなどの話題のほか、協力者が主導するプロジェクトでの販売グッズの制作を友人に依頼しており、グッズの特徴などについて相談している。,,,,,,,
K007_005,K007,K007_005,大学で新人の同僚に業務の説明,用談・相談,職場,仕事,同僚,2017年,10,2,0,新人の同僚はもともと友人である。勤務先の大学で、ログインの方法やメールの扱いなどについて説明している。,test,,,,,,
K007_006,K007,K007_006,自宅で恋人と洗濯物をたたみながら,雑談,自宅,家事雑事,友人知人,2017年,8,2,0,同居している恋人と一緒に洗濯物をたたみながら仕事中の出来事などを話している。,,,,,,,
K007_007,K007,K007_007,大学で新人の同僚と授業企画の打合せ,会議・会合,職場,仕事,同僚,2017年,41,2,0,勤務先の大学で特色ある授業(学生が主体となり何を学ぶかを自らで考え、評価方法も自分で決める)を実施するために、初回授業をどのような流れで進めるかを、もともと友人である新人の同僚と、打合せている。,,,,,,,
K007_008,K007,K007_008,自宅で友人と共同プロジェクトの相談,用談・相談,自宅,仕事,仕事関係,2017年,28,2,0,2人は美術館の依頼を受け、ある高校の美術部員に向けたワークショップを担当することになっており、その内容を相談している。ワークショップは部活の合宿中に組み込まれており、ここで部員たちは映像作品の制作を行なう。この部員たちの活動を何らかの形で素材とし、協力者たちもプロジェクトとしても何らかの作品を作ろうと考えている。,,,,,,,
K007_013,K007,K007_013,自宅で恋人と部屋を片付けながら,雑談,自宅,家事雑事,友人知人,2017年,15,2,0,自分たちが関わっている展示に関する評価や考え方などについて部屋を片付けながら話している。,,,,,,,
K007_014,K007,K007_014,自宅で恋人と料理しながら,雑談,自宅,家事雑事,友人知人,2017年,10,2,0,恋人と一緒に梨を剥きながら調理器具などについて話している。,test,,,,,,
K007_015,K007,K007_015,自宅で恋人と料理および夕食,雑談,自宅,食事・家事雑事,友人知人,2017年,61,2,0,前半は台所で調理作業を、後半は居間に移動してでき上がった料理を食べている。調理の方法や共通の知人、味の評価についてなどを話している。,,,,,,,
K007_016,K007,K007_016,大学で同僚と雑談,雑談,職場,休息,同僚,2017年,18,2,0,同じ勤務先の別部署に勤める同期の同僚と休憩中に雑談している。近況を交えながら芸術に関する活動における立ち位置や作品の見せ方などについて話している。,,,,,,,
K007_017,K007,K007_017,自宅で恋人とテーブルゲームをしながら,雑談,自宅,レジャー活動,友人知人,2017年,23,2,0,恋人と2人でゲーム(ジェンガ)の対戦をしている。,,,,,,,
K007_020,K007,K007_020,大学で学生から仕事の相談,用談・相談,職場,仕事・学業,先生生徒,2017年,25,2,0,勤務先の大学で協力者の仕事に興味がある学生に自身の仕事を説明するなどして相談に乗っている。,,,,,,,
K008_003,K008,K008_003,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年,8,2,0,食事について話している。,,,,,,,
K008_004,K008,K008_004a,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年,3,2,0,3、4年前から切ってもらっている美容師。髪について、仕事のこと、ラジオ講座で英語を勉強していること、音楽のこと、服装のことなどを話している。,,,,,,,
K008_004,K008,K008_004b,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年,55,2,0,3、4年前から切ってもらっている美容師。髪について、仕事のこと、ラジオ講座で英語を勉強していること、音楽のこと、服装のことなどを話している。,,,,,,,
K008_005,K008,K008_005,実家で母と料理,雑談,室内_実家,家事雑事,家族,2017年,26,2,0,母と一緒に夕食の準備をしながら、料理の手順や仕事のことなどについて話している。後半で父が卓上ガスコンロを取り出すために登場する。,,,,,,,
K008_010,K008,K008_010,飲食店で友人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年,20,2,0,同業者(通訳)で長い付き合いの親友。よく話す機会があり、この日はレストランで忘年会ランチをしている。親友のマラソンの話や海外から来る知人に東京を案内することなどを話している。,,,,,,,
K008_013,K008,K008_013,近所の神社で配偶者と初詣,雑談,屋外,移動・レジャー活動,家族,2018年,18,2,0,夫婦で参拝し神社の境内を見学。樹木や建造物のことを話したり甘酒を飲んだりしている。,test,,,,,,
K008_015,K008,K008_015,飲食店で知人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年,57,2,0,近所に住む仲のいい知人とファミレスでおしゃべり。親戚のことや、TV番組で見た皇室のこと、蕎麦のこと、コーヒーやケーキのことなど。どちらかがドリンクバーに行く時はお互い1人になり、独り言を言っている。,,,,,,,
K008_016,K008,K008_016,飲食店で友人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年,62,2,0,長い付き合いの友人とカフェでおしゃべり。共通の知人の話題や友人の家族の話、協力者の留学時代の友人の話、仕事の話題、充電期間にやることなどを話している。,,,,,,,
K009_007,K009,K009_007,飲食店で友人と昼食後に雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2018年,10,2,0,カフェで大学時代の一番仲のよい友人と近況を報告したり、友人のことを話している。,test,,,,,,
K010_005,K010,K010_005a,店舗で知人にビジネスの相談,用談・相談,職場_相手の職場,仕事,友人知人,2018年,21,2,0,長年の知人。会話aでは、病気の友人のための発酵飲料のことなどについて話している。会話bでは、お茶の世界やブランド食材についての雑談や協力者が検討している物件についての相談などが行なわれている。,,,,,,,
K010_005,K010,K010_005b,店舗で知人にビジネスの相談,用談・相談,職場_相手の職場,仕事,友人知人,2018年,20,2,0,長年の知人。会話aでは、病気の友人のための発酵飲料のことなどについて話している。会話bでは、お茶の世界やブランド食材についての雑談や協力者が検討している物件についての相談などが行なわれている。,,,,,,,
