セッションID,協力者ID,会話ID,会話概要,形式,場所,活動,話者間の関係性,収録年,会話時間,話者数,コア,備考,split,,,,,,
K010_006,K010,K010_006,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2018年,10,2,0,長年の知人と久しぶりの再会でファミレスで近況報告をしている。共通の友人のことや、今日の予定、昔の思い出、友人が所有しているアパートのことなどを話している。,valid,,,,,,
K010_008,K010,K010_008,オフィスで弟に保証人の依頼,用談・相談,職場_相手の職場,家事雑事,家族,2018年,8,2,0,住宅賃貸契約の更新に伴う連帯保証人の依頼をしている。弟とは2ヶ月に一回ぐらい会う。書類に記入してもらいながら、住宅に関することや、隣家の住人が知り合いの知り合いだったことなどを話している。,,,,,,,
K010_011,K010,K010_011b,店で友人たちと雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年,7,2,0,昔からの友人の店で、協力者が検討している事業のことや、共通の知人の話題、昔の出来事などについて話している。途中、接客の場面があるため会話を2つに分割。,test,,,,,,
K010_013,K010,K010_013a,駐車場に止めた車内で友人と雑談,雑談,交通機関_車,付き合い,友人知人,2018年,14,2,0,30年来の友人と、共通の友人のことやその友人から持ちかけられている北海道での新しい事業のことなどを話している。,,,,,,,
K010_013,K010,K010_013b,駐車場に止めた車内で友人と雑談,雑談,交通機関_車,付き合い,友人知人,2018年,11,2,0,30年来の友人と、共通の友人のことやその友人から持ちかけられている北海道での新しい事業のことなどを話している。,,,,,,,
K010_017,K010,K010_017,家の近所で配偶者と犬の散歩をしながら,雑談,屋外,家事雑事・移動,家族,2018年,15,2,0,愛犬の様子を話したり、愛犬に話しかけたりしている。以前飼っていた犬のことも話題になっている。,,,,,,,
K011_005,K011,K011_005,カラオケボックスで友達の友達に爪磨きのレッスン,授業・レッスン,公共商業施設_商業施設,レジャー活動,サービス場面関係,2018年,64,2,0,2人は共通の友人を通じて知り合い、今回が初対面。協力者は、販売している爪磨きキットの使い方を、カラオケボックスやレンタルスペールなどで指導している。,,,,,,,
K011_009,K011,K011_009a,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2018年,10,2,0,子どもが昔習っていた柔道のママ友と、一緒に帰宅する車の中での会話。ママ友は高校で司書をしていて、協力者に非常勤講師の職を紹介してくれた。会話aでは、授業のこと、高校生のこと、道路状況のことなどを話している。会話bでは、家族のこと、車の買い替えのこと、ブログのことなどを話している。,,,,,,,
K011_009,K011,K011_009b,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2018年,11,2,0,子どもが昔習っていた柔道のママ友と、一緒に帰宅する車の中での会話。ママ友は高校で司書をしていて、協力者に非常勤講師の職を紹介してくれた。会話aでは、授業のこと、高校生のこと、道路状況のことなどを話している。会話bでは、家族のこと、車の買い替えのこと、ブログのことなどを話している。,test,,,,,,
K012_001,K012,K012_001,研究機関で知人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年,16,2,0,友人の紹介で知り合った初対面の人との雑談。子育ての話で、子ども向け番組や息子が興味を持っている電車の動画についてなど。,,,,,,,
K012_002,K012,K012_002a,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年,4,2,0,大学の同窓生で同じ寮に住んでいた友人である。研究費の話(会話a)、保育の話(会話b)、大学時代の友人の話(会話c)、翻訳の話(会話d)。,,,,,,,
K012_002,K012,K012_002b,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年,10,2,0,大学の同窓生で同じ寮に住んでいた友人である。研究費の話(会話a)、保育の話(会話b)、大学時代の友人の話(会話c)、翻訳の話(会話d)。,,,,,,,
K012_002,K012,K012_002c,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年,14,2,0,大学の同窓生で同じ寮に住んでいた友人である。研究費の話(会話a)、保育の話(会話b)、大学時代の友人の話(会話c)、翻訳の話(会話d)。,,,,,,,
K012_002,K012,K012_002d,研究機関で友人と雑談,雑談,職場_相手の職場,付き合い,友人知人,2018年,10,2,0,大学の同窓生で同じ寮に住んでいた友人である。研究費の話(会話a)、保育の話(会話b)、大学時代の友人の話(会話c)、翻訳の話(会話d)。,,,,,,,
K012_003,K012,K012_003a,自宅で息子と遊び配偶者と雑談,雑談,自宅,家事雑事・レジャー活動,家族,2018年,2,2,0,息子に保育園のことを聞いたり(会話a)、おもちゃの乗り物の話をしたりしている(会話b)。妻は会話cからの参加で、昼食をどうするかなどについて話す。,,,,,,,
K012_003,K012,K012_003b,自宅で息子と遊び配偶者と雑談,雑談,自宅,家事雑事・レジャー活動,家族,2018年,2,2,0,息子に保育園のことを聞いたり(会話a)、おもちゃの乗り物の話をしたりしている(会話b)。妻は会話cからの参加で、昼食をどうするかなどについて話す。,,,,,,,
K012_006,K012,K012_006,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年,20,2,0,DVDを見ながらプラレールで遊んでいる。電車の話や本の話など。,test,,,,,,
K012_007,K012,K012_007a,自宅で息子と遊びながら,雑談,自宅,家事雑事・レジャー活動,家族,2019年,19,2,0,おもちゃで遊ぶ。プラレールで遊びながら電車の駅や路線の話をしたり(会話a、会話b)、車掌のアナウンスの真似をしたり(会話b)している。会話aでは息子の発話は(IC02)として転記しているが、会話bではICレコーダーを外しているため(N10A)として転記している。,,,,,,,
K013_004,K013,K013_004,恋人の家で恋人と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,友人知人,2018年,26,2,0,協力者が昼に参加した結婚式の引出物としてもらったカタログギフトをどれにするか、昼間行ってきた結婚式のこと、招待状のこと、結婚式の進行についてなどについて話している。,,,,,,,
K013_012,K013,K013_012,自宅で恋人と旅行について相談,用談・相談,自宅,食事・その他,友人知人,2019年,29,2,0,九州旅行で観光する場所をパソコンを見ながら検討している。これまでに行ったことがあるところの話題や、様々な地名について話している。,,,,,,,
K013_017,K013,K013_017,恋人の家で恋人と旅行について相談,用談・相談,室内_友人知人宅,その他,友人知人,2019年,12,2,0,九州旅行で泊まる宿の駐車場のことや観光する場所について話している。東京のイタリアンのお店なども話題に。,test,,,,,,
K013_019,K013,K013_019,実家で祖母と雑談,雑談,室内_実家,休息,家族,2019年,31,2,0,実家の祖父母の部屋で九州旅行のお土産を祖母に渡している。これまでに旅行した日本各地のことや、まだ行ったことがない地域のことについてお互いに話している。,,,,,,,
S001_011,S001,S001_011,自宅で配偶者と料理をしながら,雑談,自宅,家事雑事,家族,2017年,50,2,0,この日の夕方に両親の家で両親・妹夫婦と一緒に、妻と義弟の誕生会があり、そのためにサモサを作っている。2人とも料理は上手だが結婚してからは主に妻が料理を担当している。会話の最後の方で妹に電話をし、まだ家におり料理中であることを伝える。,,,,,,,
S001_013,S001,S001_013,自宅で配偶者と家事雑事をしながら,雑談,自宅,家事雑事,家族,2017年,20,2,0,自宅で夕食前に、家事雑事をしている。協力者は以前経営していたカフェの確定申告の準備でレシートの整理をしている。妻は夕飯の献立を考えたあと料理をしながら会話をしている。,test,,,,,,
S002_005,S002,S002_005,飲食店で取引先の方と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,仕事関係,2017年,32,2,0,6年来の付き合いのある取引先の部長と初めて会食をしたあと2人でワインバーで二次会。仕事である出版関係の話を中心に語っている。,,,,,,,
S002_012,S002,S002_012,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年,26,2,0,趣味の音楽関係の友人で、よく会って食事する。,test,,,,,,
S002_014,S002,S002_014,友人宅で友人と飲みながら,雑談,室内_友人知人宅,食事・付き合い,友人知人,2017年,52,2,0,大学の同期で専科も同じ親しい友人が近所に住んでいることから遊びに行った。飲みながら、同窓会や同期の話、互いの近況、高校時代などについて話す。,,,,,,,
T001_002,T001,T001_002,自宅で配偶者と棚の組み立て,用談・相談,自宅,家事雑事,家族,2016年,54,2,0,組み立ての手順書を見ながら、3段のカラーボックスを妻と一緒に組み立てる。実働は協力者が主で、妻は手順書を見て指示したり組み立ての補佐をする。途中、組み立ての方法を間違えて戻る場面がある。,,,,,,,
T001_003,T001,T001_003,飲食店で元同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2016年,61,2,0,元同僚の後輩から仕事上の相談を受けたあと、居酒屋に移動して食事しながら雑談。仲がよく、協力者が退職したあともたまに会っている。会話冒頭で「打席の話」とあるが、恋愛話のこと。,,,,,,,
T001_005,T001,T001_005,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,10,2,0,大学時代の後輩と居酒屋で夕食。今後の仕事の展開についての話や、パートナー候補についての話など。,,,,,,,
T001_007,T001,T001_007,自宅で配偶者と母の日のプレゼント選び,用談・相談,自宅,家事雑事,家族,2016年,31,2,0,協力者の母のプレゼント選びだが、普段から妻が手配している。今回もいつものように妻がネットでプレゼントを選んでいる。協力者は仕事関連の資料を見ながら晩酌しつつ聞いている。,,,,,,,
T001_008,T001,T001_008,飲食店で元同僚と昼食後の雑談,雑談,公共商業施設_飲食店,付き合い,元同僚,2016年,15,2,0,元同僚の先輩とイタリアンレストランで昼食後にお茶をしながら。お互い同じ会社を退職して独立しているが、たまに会って情報交換をしている。,test,,,,,,
T001_015,T001,T001_015,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,11,2,0,注文や好きな料理の話、職場の同僚の話など。,,,,,,,
T001_016,T001,T001_016,飲食店で元同僚と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2016年,9,2,0,自分や同僚のキャリアアップや事業の今後についての話など。,,,,,,,
T002_011,T002,T002_011a,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年,7,2,0,2人は共同で松本などで開催するイベントの企画をしており、イベントの日程などについて打合せをしている。2人は高校の同級生で、友人のヨガ教室に協力者が通うなど、仲がよく、よくこうしたイベントを共同で企画する。,,,,,,,
T002_011,T002,T002_011b,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年,8,2,0,2人は共同で松本などで開催するイベントの企画をしており、イベントの日程などについて打合せをしている。2人は高校の同級生で、友人のヨガ教室に協力者が通うなど、仲がよく、よくこうしたイベントを共同で企画する。,valid,,,,,,
T002_011,T002,T002_011c,飲食店で友人とイベントの打合せ,用談・相談,公共商業施設_飲食店,仕事,友人知人,2016年,26,2,0,2人は共同で松本などで開催するイベントの企画をしており、イベントの日程などについて打合せをしている。2人は高校の同級生で、友人のヨガ教室に協力者が通うなど、仲がよく、よくこうしたイベントを共同で企画する。,,,,,,,
T002_012,T002,T002_012,飲食店で母と雑談,雑談,公共商業施設_飲食店,休息,家族,2016年,26,2,0,久しぶりに上京してきた母と会話。母が家に帰るため、バスを待つ間に喫茶店に入った。バスの時間に合わせて会話を切り上げる。,,,,,,,
T002_013,T002,T002_013,飲食店で仕事関係者と夕食および打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,仕事関係,2016年,55,2,0,協力者がイベントを企画しており、それに(IC02)が華道の講師として参加する計画。その打合せを兼ねての食事会。相談しているのは、会話[T002_011]で話しているイベントの一つ。,,,,,,,
T002_015,T002,T002_015,飲食店で先輩と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,36,2,1,レストランで元職場の先輩と雑談。協力者が退職後もよく会っている。協力者の父、先輩の母親の話、食事や健康の話など。,,,,,,,
T002_018,T002,T002_018,飲食店で配偶者と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2016年,15,2,1,カフェで食事しながら夫婦で雑談。食事の話や今後のイベントの話など。,,,,,,,
T002_019,T002,T002_019,飲食店で仕事関係者と仕事の打合せ,用談・相談,公共商業施設_飲食店,仕事,仕事関係,2016年,19,2,1,協力者と共同で企画しているイベントなどについて打合せ。,valid,,,,,,
T003_003,T003,T003_003,食店で父母会役員の引き継ぎ,用談・相談,公共商業施設_飲食店,社会参加,友人知人,2016年,55,2,0,飲食店で、幼稚園のママ友(役員をしていた時の1学年下の仲間)と今年の幼稚園バザーの打合せ。協力者は経験者で、今回初めて担当するママ友にバザーの説明などをしてアドバイスをしている。,,,,,,,
T004_006,T004,T004_006,温熱療法施設で施術師と施術後の雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2016年,29,2,0,施術後に予約の話と合わせてよく世間話をする。協力者の両親と弟が住む熊本で地震があり、また弟が手術することになったため、協力者は熊本に帰省する予定である。こうした話が、予約日時とからめながら語られる。後半は水害など地震とは別の話。,,,,,,,
T004_016,T004,T004_016,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2016年,13,2,0,外食後の帰宅途中。通り道の周りの町のことなど、とりとめなく話している。,test,,,,,,
T006_001,T006,T006_001,大学でサークル顧問の先生と雑談,雑談,学校,付き合い,先生生徒,2016年,28,2,1,先生(IC02)は合気道サークルの顧問で、協力者と仲がよい。2人は普段から大学の内外で研究学問の話や趣味の話などについてよく話す間柄である。協力者はプロレスが好きで、また中学時代に柔道をやっていたこともあり、その話題が会話の後半に展開される。,,,,,,,
T006_003,T006,T006_003,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,15,2,0,2人は中学時代の同級生で、家も近く地元でよく会っている。テレビを見ながらそれを話題にしたり、手元でいじっているポケモンGOについて話すなど、とりとめのない話が続く。,,,,,,,
T006_005,T006,T006_005,自宅で友人と電話で雑談,雑談,自宅,付き合い,友人知人,2016年,38,2,0,会話相手の大学の同級生は全国をあちこち旅をしており、この時は石垣島に滞在中。電話で沖縄の話や映画の話などをしている。,,,,,,,
T006_009,T006,T006_009,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,14,2,1,中学時代の同級生とは家も近く地元でよく会っている。同級生(IC02)が韓国に行くため韓国がらみの話や、給料・税金の話など、とりとめのない話が続く。,,,,,,,
T007_004,T007,T007_004,実家で弟とテレビを見ながら,雑談,室内_実家,休息,家族,2016年,32,2,0,親の法要のため実家に帰省中。妹は翌日来る(その時の会話が[T007_006])。弟と居間でテレビを見ながら妹の帰省の予定や行く予定の温泉などについてとりとめもなく話している。,,,,,,,
T007_009,T007,T007_009,駐輪場事務所で同僚に業務の説明,用談・相談,職場,仕事,同僚,2016年,63,2,0,駐輪場とは別件のシルバーパスの更新受付の仕事をシルバー人材センターが請け負っており、その仕事に新たに(IC02)が従事することになったため、長年従事している協力者が仕事の詳細を説明している。,,,,,,,
T007_010,T007,T007_010,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2016年,17,2,0,妻とテレビを見ながら夕食を食べている。食べ物の説明や、妻のその日の出来事、共通の知人の話題、テレビの内容などについて話をしている。,test,,,,,,
T007_016,T007,T007_016a,駐輪場事務所で同僚に業務の説明,用談・相談,職場,仕事,同僚,2016年,13,2,0,シルバー人材センターの仲間である。駐輪場の勤務状況や収支状況をまとめた月報をパソコンで入力する方法を協力者が(IC02)に教えている。,,,,,,,
T007_016,T007,T007_016b,駐輪場事務所で同僚に業務の説明,用談・相談,職場,仕事,同僚,2016年,15,2,0,シルバー人材センターの仲間である。駐輪場の勤務状況や収支状況をまとめた月報をパソコンで入力する方法を協力者が(IC02)に教えている。,,,,,,,
T008_003,T008,T008_003,自宅で配偶者と夜食を取りながら,雑談,自宅,食事,家族,2016年,11,2,0,夫と夜食にケーキを食べながらケーキや最近の出来事などについて雑談。2人とも甘いものが好きで、よくケーキなどを食べる。,,,,,,,
T008_004,T008,T008_004,自宅で配偶者と朝食を取りながら,雑談,自宅,食事,家族,2016年,13,2,0,朝食をとりながら夫と食事や近日の予定などについて雑談。,,,,,,,
T008_005,T008,T008_005a,事務所で友人と雑談,雑談,職場_相手の職場,付き合い・仕事,友人知人,2016年,8,2,0,協力者は仕事仲間の友人の個人事務所をたずね、おしゃべりをしている。友人は机に向かい仕事をしながら会話。友人とは仕事上、発注者と受注者という関係であるが、親しい間柄であり、協力者は仕事がなくても、時々、友人の事務所に遊びに来ている。,,,,,,,
T008_005,T008,T008_005b,事務所で友人と雑談,雑談,職場_相手の職場,付き合い・仕事,友人知人,2016年,10,2,1,協力者は仕事仲間の友人の個人事務所をたずね、おしゃべりをしている。友人は机に向かい仕事をしながら会話。友人とは仕事上、発注者と受注者という関係であるが、親しい間柄であり、協力者は仕事がなくても、時々、友人の事務所に遊びに来ている。,,,,,,,
T008_005,T008,T008_005c,事務所で友人と雑談,雑談,職場_相手の職場,付き合い・仕事,友人知人,2016年,8,2,0,協力者は仕事仲間の友人の個人事務所をたずね、おしゃべりをしている。友人は机に向かい仕事をしながら会話。友人とは仕事上、発注者と受注者という関係であるが、親しい間柄であり、協力者は仕事がなくても、時々、友人の事務所に遊びに来ている。,valid,,,,,,
T008_008,T008,T008_008,実家で母と夕食の準備および夕食,雑談,室内_実家,食事・家事雑事,家族,2016年,16,2,1,週末に実家に立ち寄り、世間話や近況報告などをしている。母は家事をしながら、協力者は軽く食事をしながら会話。協力者はよく実家を訪れてこのように母とおしゃべりをする。,,,,,,,
T008_009,T008,T008_009,自宅で配偶者と夜食後に雑談,雑談,自宅,休息,家族,2016年,16,2,0,帰宅後に夫とデザートを食べたあと、協力者の趣味のプロレスの話や協力者の仕事関連の話、共通の友人の話などをしている。,,,,,,,
T008_010,T008,T008_010,飲食店で仕事関係者と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,仕事関係,2016年,26,2,0,居酒屋のカウンターで、仕事関係の知人兼プライベートでの飲み仲間と、プロセス興行観戦後の打ち上げ。観戦した試合の感想や格闘技団体や選手のことなどについて話している。,,,,,,,
T008_011,T008,T008_011,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,9,2,0,仕事後に夕食を取っている。仕事上は発注者と受注者という関係であるが、親しい間柄であり、よく会って話をする。ここでは友人たちと知り合いの寿司屋に行った時の話などをしている。,,,,,,,
T008_013,T008,T008_013,自宅で配偶者と引き出物選び,用談・相談,自宅,家事雑事,家族,2016年,17,2,0,協力者が友人の結婚式に出席していただいた引き出物のカタログを見ながら、2人で相談して物を選んでいる。,,,,,,,
T008_014,T008,T008_014a,飲食店で友人と仕事しながら,雑談,公共商業施設_飲食店,仕事,仕事関係,2016年,5,2,0,喫茶店で友人と互いに仕事しつつ雑談。(IC03)とはフリーランス同士の仕事仲間で友人としても親しくしている。今回のように会うことも多い。話の内容は主に協力者の人間関係に関わるもの。,,,,,,,
T008_014,T008,T008_014b,飲食店で友人と仕事しながら,雑談,公共商業施設_飲食店,仕事,仕事関係,2016年,17,2,0,喫茶店で友人と互いに仕事しつつ雑談。(IC03)とはフリーランス同士の仕事仲間で友人としても親しくしている。今回のように会うことも多い。話の内容は主に協力者の人間関係に関わるもの。,,,,,,,
T008_019,T008,T008_019a,事務所で仕事関係者と昼食を取りながら,雑談,職場_相手の職場,付き合い,仕事関係,2016年,10,2,0,仕事関係者の事務所を訪問がてら仕事のお願いごと。後半で仕事のお願いをしているが、そのほかは映画や食べ物の話など雑談が中心。,,,,,,,
T008_019,T008,T008_019b,事務所で仕事関係者と昼食を取りながら,雑談,職場_相手の職場,付き合い,仕事関係,2016年,31,2,0,仕事関係者の事務所を訪問がてら仕事のお願いごと。後半で仕事のお願いをしているが、そのほかは映画や食べ物の話など雑談が中心。,,,,,,,
T008_020,T008,T008_020,公園で配偶者と散歩しながら,雑談,屋外,移動・レジャー活動,家族,2016年,7,2,0,夫と一緒に紅葉を見に公園に。ぶらりと歩きながら、とりとめもなくおしゃべりをしている。,,,,,,,
T008_021,T008,T008_021,実家で母と雑談,雑談,室内_実家,食事・休息,家族,2016年,20,2,0,実家に立ち寄り、祖母の話や協力者が飼っているペットの話、世間話や近況報告など。協力者は軽く食事をしながら母は家事をしたり本に目を通しながら会話。協力者はよく実家を訪れてこのように母とおしゃべりをする。,,,,,,,
T008_022,T008,T008_022a,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年,13,2,0,(IC06)は仕事仲間で、友人としても親しくしており、よくおしゃべりをする。ここでは痛風や肥満などについて話している。,,,,,,,
T008_022,T008,T008_022b,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年,2,2,0,(IC06)は仕事仲間で、友人としても親しくしており、よくおしゃべりをする。ここでは痛風や肥満などについて話している。,,,,,,,
T008_022,T008,T008_022c,飲食店で友人とお茶をしながら,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年,9,2,0,(IC06)は仕事仲間で、友人としても親しくしており、よくおしゃべりをする。ここでは痛風や肥満などについて話している。,valid,,,,,,
T009_001,T009,T009_001,自宅で祖母とお茶をしながら,雑談,自宅,休息,家族,2016年,22,2,0,二世帯住宅で同居する祖母と、祖母の部屋でお茶を飲みながら祖母の1日の行動などについて雑談。飼い猫のコタロウもそばにいていたずらしている。コタロウは生後数ヶ月で飼い始めたばかり。,,,,,,,
T009_002,T009,T009_002,自宅で母とお茶をしながら,雑談,自宅,食事,家族,2016年,10,2,0,夜、帰宅後に、デザートを食べながら母と雑談。飼い猫のコタロウとじゃれながら会話。コタロウは生後数ヶ月で飼い始めたばかり。,,,,,,,
T009_003,T009,T009_003,飲食店で恋人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,23,2,0,恋人と高尾山の山登りにいったあと、その帰りに居酒屋に寄って食事をしている。,,,,,,,
T009_005,T009,T009_005a,自宅で友人と雑談,雑談,自宅,食事,友人知人,2016年,8,2,0,家に泊まりにきた大学の親友と就寝前に雑談。2人とも就活中で就職の話や彼氏の話など、とりとめもなく話している。,,,,,,,
T009_005,T009,T009_005b,自宅で友人と雑談,雑談,自宅,食事,友人知人,2016年,4,2,0,家に泊まりにきた大学の親友と就寝前に雑談。2人とも就活中で就職の話や彼氏の話など、とりとめもなく話している。,,,,,,,
T009_015,T009,T009_015,飲食店で母と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2016年,22,2,0,大学祭の帰りにファミレスで母と食事しながら雑談。大学祭の話や料理の話など。,,,,,,,
T009_017,T009,T009_017,渓谷で恋人と散策,雑談,屋外,移動・レジャー活動,友人知人,2016年,23,2,1,恋人と渓谷を散策しながら、共通の友人の話や近況報告など。恋人とは一緒に高尾山に登るなど軽いアウトドアをすることがある。,,,,,,,
T009_021,T009,T009_021a,飲食店で後輩に役員の業務引き継ぎ,用談・相談,公共商業施設_飲食店,食事・課外活動,友人知人,2016年,11,2,0,大学祭が終わり次期執行部体制が決まったことから、業務を引き継ぐためにカフェでサークルの後輩と打合せ。相手は1学年下で協力者と同じ副代表となる。引き継ぎ資料を見ながら副代表の仕事などについて説明している。,valid,,,,,,
T009_021,T009,T009_021b,飲食店で後輩に役員の業務引き継ぎ,用談・相談,公共商業施設_飲食店,食事・課外活動,友人知人,2016年,38,2,0,大学祭が終わり次期執行部体制が決まったことから、業務を引き継ぐためにカフェでサークルの後輩と打合せ。相手は1学年下で協力者と同じ副代表となる。引き継ぎ資料を見ながら副代表の仕事などについて説明している。,,,,,,,
T009_022,T009,T009_022,飲食店で同僚と雑務や接客をしながら,用談・相談,職場,仕事,同僚,2016年,30,2,0,コーヒーショップのアルバイト中に豆の準備などしながら、アルバイトの先輩とコーヒーや健康の話など。奥の部屋に店長がいて少しだけ言葉をかわす。途中、何回か接客をする。,,,,,,,
T010_002,T010,T010_002a,自宅で母と夕食を取りながら,雑談,自宅,食事,家族,2016年,20,2,1,協力者は大学で日本語学を学んでおり、学習塾で教えている母と2人で言葉について語っている。,test,,,,,,
T010_002,T010,T010_002b,自宅で母と夕食を取りながら,雑談,自宅,食事,家族,2016年,20,2,0,協力者は大学で日本語学を学んでおり、学習塾で教えている母と2人で言葉について語っている。,,,,,,,
T010_005,T010,T010_005,自宅で友人とゲームしながら,雑談,自宅,レジャー活動,友人知人,2016年,33,2,0,2人でプロ野球の球団を運営するゲームをしている。チームに入れる選手を選んだり、他球団から獲得したり、選手獲得のためのスタッフを配置したりするゲームを、ビールを飲みながらプレイしている。ゲーム自体は割と古い。,,,,,,,
T010_007,T010,T010_007,飲食店で母校の教員と講座企画の打合せ,用談・相談,公共商業施設_飲食店,仕事・課外活動,先生生徒,2017年,18,2,0,母校の高校の選択科目として行なわれている講座に協力者は運営メンバーとして関わっており、講座の企画等について担当の教師と喫茶店で打合せ。講座は大学生の運営メンバー数名と担当教師で運営。授業自体は受講する高校生が主体的に関わる。運営スタッフの大学生はその高校の卒業生でないこともある。専門も様々で教職志望とは限らない。協力者は運営スタッフの中では年長で、今後の運営体制などについて悩みを抱えている。担当教師は高校時代の部活の顧問という関係でもある。,,,,,,,
T010_009,T010,T010_009,大学でゼミの先生と送別会について相談,用談・相談,学校,課外活動,先生生徒,2017年,23,2,1,大学の研究室でゼミの先生と4年生の送別会の企画等について相談。協力者は宴会部長をやっている。,,,,,,,
