セッションID,協力者ID,会話ID,会話概要,形式,場所,活動,話者間の関係性,収録年,会話時間,話者数,コア,備考,split,,,,,,
T010_013,T010,T010_013,飲食店で友人と夕食後に雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2017年,50,2,0,高校・大学で同級生の仲のよい友人と、人生観や悩みなどについて語り合う。高校では同じ野球部に所属しており、かなり仲がよい。,,,,,,,
T013_001,T013,T013_001,自宅で配偶者と夕食後に雑談,雑談,自宅,休息,家族,2016年,10,2,1,最近受講した年賀状の講習会や年末年始の予定などについて話している。,valid,,,,,,
T013_003,T013,T013_003,公園で配偶者と散歩しながら,雑談,屋外,移動・レジャー活動,家族,2016年,29,2,0,妻と一緒に公園周辺を散歩しながら、英語教育や家族のことについて雑談。妻は中学の英語教員で事情に詳しい。,,,,,,,
T013_005,T013,T013_005,自宅で配偶者と雑談,雑談,自宅,休息,家族,2016年,7,2,0,忘年会で飲んで帰宅したあと、妻と、その日のことや娘のことなどについて雑談している。,,,,,,,
T013_007,T013,T013_007,自宅で配偶者と雑談,雑談,自宅,休息,家族,2016年,6,2,0,年賀状や正月の準備などについて妻ととりとめもなく話している。年末年始に息子夫婦が孫を連れて帰省するため、その準備などについて。,,,,,,,
T013_017,T013,T013_017,飲食店で元同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2017年,10,2,0,協力者が中学校の教員をしていた頃の同僚と久しぶりに再会し、当時の思い出話しなどをしている。協力者と同僚は支援学級をともに担当していた。,valid,,,,,,
T013_018,T013,T013_018,飲食店で元同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,元同僚,2017年,30,2,0,会話[T013_017]の続きで音楽の話が中心。2人とも楽器をやっており音楽に詳しい。特に同僚はクラシックに造詣がある。,,,,,,,
T013_020,T013,T013_020,友人と車で移動中,雑談,交通機関_車,移動,友人知人,2017年,15,2,0,教育関係の研究会会場に向かう車の中でスキーなどの話をしている。相手(IC02)はもともとスポーツを通して知り合った友人だが、教育関係の研究会で最近よく会うようになった。,,,,,,,
T013_021,T013,T013_021,飲食店で先輩と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年,15,2,0,大学時代の同じ講座の仲のよい先輩と大学時代の思い出話し。協力者が途中、座を離れる時間がある。,test,,,,,,
T014_001,T014,T014_001a,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2016年,4,2,0,夫と夕食を食べながら、またテレビを見ながら雑談。出張のことなど。ペットの犬も一緒。,,,,,,,
T014_001,T014,T014_001b,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2016年,6,2,0,夫と夕食を食べながら、またテレビを見ながら雑談。出張のことなど。ペットの犬も一緒。,,,,,,,
T014_005,T014,T014_005a,自宅で配偶者にがん治療について質問,用談・相談,自宅,その他,家族,2016年,3,2,0,協力者は最近のがん治療について調べており、医者である夫に質問し、夫が説明している。,,,,,,,
T014_005,T014,T014_005b,自宅で配偶者にがん治療について質問,用談・相談,自宅,その他,家族,2016年,10,2,0,協力者は最近のがん治療について調べており、医者である夫に質問し、夫が説明している。,valid,,,,,,
T014_005,T014,T014_005c,自宅で配偶者にがん治療について質問,用談・相談,自宅,その他,家族,2016年,10,2,0,協力者は最近のがん治療について調べており、医者である夫に質問し、夫が説明している。,,,,,,,
T014_008,T014,T014_008,同僚宅で同僚と料理をしながら,雑談,室内_友人知人宅,家事雑事,同僚,2017年,28,2,0,同僚でかつ親しい友人の自宅を訪問し夕食の準備をしながら雑談している。,test,,,,,,
T014_010,T014,T014_010a,同僚と車で移動中,雑談,交通機関_車,移動,同僚,2017年,15,2,0,同僚で親しい友人と一緒に車で買物に行く途中の会話。,,,,,,,
T014_010,T014,T014_010b,同僚と車で移動中,雑談,交通機関_車,移動,同僚,2017年,9,2,0,同僚で親しい友人と一緒に車で買物に行く途中の会話。,,,,,,,
T014_011,T014,T014_011a,病院で元上司に仕事の相談,用談・相談,職場,仕事・その他,元同僚,2017年,10,2,0,協力者は、病院スタッフを対象にして、リフレクソロジーを福利厚生の一貫として行なう仕事を軌道に載せたいと考えている。今後の進め方などについて経験豊富な元上司(現在は退職したのちパートで勤務)に相談している。,,,,,,,
T014_011,T014,T014_011b,病院で元上司に仕事の相談,用談・相談,職場,仕事・その他,元同僚,2017年,25,2,0,協力者は、病院スタッフを対象にして、リフレクソロジーを福利厚生の一貫として行なう仕事を軌道に載せたいと考えている。今後の進め方などについて経験豊富な元上司(現在は退職したのちパートで勤務)に相談している。,,,,,,,
T014_012,T014,T014_012,自営サロンで同僚に施術前の問診,用談・相談,職場,仕事・身の周りの用事,同僚,2017年,19,2,0,同僚の病院スタッフが自営セラピーサロンにフェイシャルリフレクソロジーを受けに来た際の会話。施術前のコンサルテーションとして体調などについてたずねている。同僚には過去に勤務先の病院で施術をしたことがあるが、今回、初めて自営のサロンのお客さんとして対応している。,,,,,,,
T014_016,T014,T014_016,飲食店で友人と昼食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年,21,2,0,中国茶教室に友人と一緒に通っており、その教室のあとランチをしながら教室のことや友人の子どものことなどについて話している。,valid,,,,,,
T014_018,T014,T014_018,友人宅で友人とケーキを作りながら,用談・相談,室内_友人知人宅,家事雑事・その他,友人知人,2017年,70,2,0,お菓子作りが上手な友人にお菓子作りを教えてもらっている。協力者はお菓子作りは初心者である。,,,,,,,
T015_003,T015,T015_003,会社の応接室で取引先と仕事の打合せ,会議・会合,職場,仕事,仕事関係,2017年,16,2,1,(IC02)は協力者と同業者だが、協力者の会社に一部の業務をアウトソーシングしていた。協力者の会社が業務の一部をやめることに伴い、(IC02)は新たな外注先を探しており、協力者に相談している。,,,,,,,
T015_008,T015,T015_008a,床屋で理容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年,30,2,1,行きつけの理髪店で、店主は中学の同級生でもあり仲がよい。同級生や地元、商店街の話など。会話のないシャンプー洗い流し・髭剃りの前が会話a、そのあとが会話b。,,,,,,,
T015_008,T015,T015_008b,床屋で理容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年,12,2,0,行きつけの理髪店で、店主は中学の同級生でもあり仲がよい。同級生や地元、商店街の話など。会話のないシャンプー洗い流し・髭剃りの前が会話a、そのあとが会話b。,,,,,,,
T015_010,T015,T015_010,飲食店で店主に取材しながら,用談・相談,職場_相手の職場,仕事,仕事関係,2017年,18,2,1,商店街のフリーペーパーのために飲食店の店主に取材。冒頭で協力者は料理の写真を撮り、そのあと店主にお店や料理などについてインタビューをしている。最後に店主からショップカード作成の依頼を受ける。協力者と店主は商店街の顔馴染みで、協力者は時々お店を利用することもある。,,,,,,,
T015_012,T015,T015_012a,飲食店で息子と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年,8,2,0,息子と焼き肉を食べながら雑談。前半は直前に開催された息子の中学の運動会について。息子は陸上部に所属しており、協力者もかつて陸上をやっていたことからリレーの話が中心。後半は息子がはまっている映画の話。息子に付き合って映画を見るうちに協力者も映画に詳しくなった。,test,,,,,,
T015_012,T015,T015_012b,飲食店で息子と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年,23,2,0,息子と焼き肉を食べながら雑談。前半は直前に開催された息子の中学の運動会について。息子は陸上部に所属しており、協力者もかつて陸上をやっていたことからリレーの話が中心。後半は息子がはまっている映画の話。息子に付き合って映画を見るうちに協力者も映画に詳しくなった。,,,,,,,
T015_014,T015,T015_014,飲食店でボーイスカウトの先輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年,12,2,0,会話相手(IC02)は、ボーイスカウトの大先輩にあたり、仕事でも取り引きがある。場所は、(IC02)の行きつけの寿司屋。ボーイスカウトの仲間のことなどについて話している。,,,,,,,
T016_003,T016,T016_003,自宅で配偶者と夕食後の雑談,雑談,自宅,休息,家族,2017年,29,2,0,PC・タブレット端末の簡単な操作をしながら夫婦で話をしている。今日あったことの報告をきっかけに、夫婦ともに従事している出版関係の仕事に関してくだけた雰囲気で話している。,,,,,,,
T016_005,T016,T016_005,自宅で息子と朝食を取りながら,雑談,自宅,食事・家事雑事,家族,2017年,16,2,0,ほかの家族がまだ眠っているため、先に起きた協力者と次男が2人で朝食を食べている。食事の面倒を見たり、食事マナーについてそれとなく教えたりしている。そのほか、幼稚園ではやっている言葉やウルトラマンについて、食べ物の好き嫌いなどについて話している。,test,,,,,,
T016_006,T016,T016_006a,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年,33,2,0,夫婦で食事や飲酒しながらのんびり会話している。主に利き手について話しており、家族の利き手や利き手に合わせた日用品のデザインなどについてジェスチャーを交えて話している。その他、収録日の昼に子どもがプールで遊んでいた様子などを話している。,,,,,,,
T016_006,T016,T016_006b,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2017年,16,2,0,夫婦で食事や飲酒しながらのんびり会話している。主に利き手について話しており、家族の利き手や利き手に合わせた日用品のデザインなどについてジェスチャーを交えて話している。その他、収録日の昼に子どもがプールで遊んでいた様子などを話している。,,,,,,,
T017_006,T017,T017_006,自宅で友人と料理を作りながら,用談・相談,自宅,食事・家事雑事,友人知人,2017年,54,2,0,同じ日本語教育養成講座を受けている仲のよい中国人の友人が模擬授業のための教材の準備で自宅にきた。その相談をしつつ、餃子の作り方を教えてもらい、作った餃子を一緒に食べながら雑談。,,,,,,,
T017_012,T017,T017_012,自宅で保険会社の担当者と保険更新の手続き,用談・相談,自宅,仕事・家事雑事,サービス場面関係,2017年,16,2,0,保険会社の担当者が協力者の自宅に来て、協力者の火災保険の更新について説明をしている。保険会社の人は協力者を長く担当しており協力者と親しいが、自宅に来るのは今回が初めて。,valid,,,,,,
T017_016,T017,T017_016,自宅で妹と雑談,雑談,自宅,休息,家族,2017年,13,2,0,お彼岸に合わせて妹が久しぶりに帰省。家族の話や仕事の話など。,,,,,,,
T017_017,T017,T017_017,飲食店で妹と夕食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年,20,2,0,会話[T017_016]のあと、家から出て外食。買い物や料理などについて雑談。,,,,,,,
T017_018,T017,T017_018,カラオケボックスで友人と軽食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2017年,17,2,0,久しぶりに会った大学時代の親しい友人ととカラオケボックスで食事しながら雑談。互いの近況や学友の近況などについて話している。,test,,,,,,
T018_017,T018,T018_017,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2017年,13,2,0,行きつけのとんかつ屋で知り合った仲のよい友人と雑談。協力者が最近行ったフィリピン留学の話や友人の趣味の音楽活動の話など。,test,,,,,,
T018_021,T018,T018_021,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2017年,29,2,0,友人は協力者がかつて習っていた空手の先生だが、協力者が空手をやめたあとは友人付き合いをしており、よく自宅にきて話をする。ここでは友人の仕事の搬送業の話や最近行なっている猫保護の取り組み、最近の教育、協力者の近況などについて話している。,,,,,,,
T018_022,T018,T018_022,塾で友人の息子に受験勉強についてアドバイス,用談・相談,職場,仕事・課外活動,先生生徒,2017年,23,2,0,仕事場の塾で友人の受験生の息子にアドバイス。友人に頼まれ、定期的に会って受験の話やアドバイスなどをしている。友人の息子は普段から口数が少ない。,,,,,,,
T019_008,T019,T019_008a,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年,14,2,0,月一回行く行きつけの美容室で髪を切りながら、カメラについてやペットの話、海外の話など。,,,,,,,
T019_008,T019,T019_008b,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2017年,10,2,0,月一回行く行きつけの美容室で髪を切りながら、カメラについてやペットの話、海外の話など。,,,,,,,
T019_011,T019,T019_011a,自宅で配偶者と夏休みの予定について相談,用談・相談,自宅,その他,家族,2018年,10,2,0,妻とお酒を飲みながら夏休みの旅行について話す。旅先や航空会社等の話。,,,,,,,
T019_011,T019,T019_011b,自宅で配偶者と夏休みの予定について相談,用談・相談,自宅,その他,家族,2018年,13,2,0,妻とお酒を飲みながら夏休みの旅行について話す。旅先や航空会社等の話。,,,,,,,
T019_016,T019,T019_016,自宅で息子の宿題を見ながら,用談・相談,自宅,家事雑事・課外活動,家族,2018年,39,2,0,次男が宿題をしているのを見ている。主に算数を教えている。,test,,,,,,
T020_003,T020,T020_003,職員室で同僚と修学旅行の下見について相談,用談・相談,職場,仕事,同僚,2017年,7,2,0,修学旅行の下見について経路や滞在時間などについて細かく話している。,,,,,,,
T020_006,T020,T020_006,高校の打合せ室で生徒に小論文指導,授業・レッスン,職場,仕事・学業,先生生徒,2017年,13,2,0,生徒の書いた小論文を読み、以前より改善されたところなどを指摘しながら、アドバイスしている。,,,,,,,
T020_007,T020,T020_007,職員室で同僚と国語科の指導内容について相談,用談・相談,職場,仕事,同僚,2017年,15,2,0,国語科の指導内容について古典文法の指導の順番などを相談している。,,,,,,,
T020_008,T020,T020_008,高校のコピー室で同僚たちと資料を印刷しながら,雑談,職場,仕事,同僚,2017年,15,2,0,勤務先のコピー室で修学旅行の資料を印刷しながら、同僚と旅行の予定や通信簿のことなどについて雑談している。印刷機の調子が悪く、印刷をあきらめたが、後からきた先生が解決してくれる。,test,,,,,,
T020_009,T020,T020_009,高校の打合せ室で同僚と資料を揃えながら,雑談,職場,仕事,同僚,2017年,18,2,0,勤務先の打合せ室で印刷した修学旅行用の資料を揃える作業をしている。教職員の飲み会での余興のことや、学生時代のアルバイトのことなどを話している。,,,,,,,
T020_010,T020,T020_010a,実家で妹と雑談,雑談,室内_実家,休息,家族,2017年,6,2,0,家族が久しぶりに集まる食事会の前。妹の恋人の転職の話や協力者が行った旅行の話(会話a、会話b)、お互いの友人のことや飲みに行って酔っ払って帰ってきた話(会話c)などをしている。会話dでは、母と協力者の妻も会話に加わり、妹が協力者の娘たちに買ってあげたクリスマスプレゼントやプレゼントを買いに行った時のことなどを話している。,,,,,,,
T020_010,T020,T020_010b,実家で妹と雑談,雑談,室内_実家,休息,家族,2017年,4,2,0,家族が久しぶりに集まる食事会の前。妹の恋人の転職の話や協力者が行った旅行の話(会話a、会話b)、お互いの友人のことや飲みに行って酔っ払って帰ってきた話(会話c)などをしている。会話dでは、母と協力者の妻も会話に加わり、妹が協力者の娘たちに買ってあげたクリスマスプレゼントやプレゼントを買いに行った時のことなどを話している。,,,,,,,
T020_010,T020,T020_010c,実家で妹と雑談,雑談,室内_実家,休息,家族,2017年,10,2,0,家族が久しぶりに集まる食事会の前。妹の恋人の転職の話や協力者が行った旅行の話(会話a、会話b)、お互いの友人のことや飲みに行って酔っ払って帰ってきた話(会話c)などをしている。会話dでは、母と協力者の妻も会話に加わり、妹が協力者の娘たちに買ってあげたクリスマスプレゼントやプレゼントを買いに行った時のことなどを話している。,,,,,,,
T020_022,T020,T020_022a,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年,8,2,0,以前から利用している美容院の美容師。髪型のことを話したあと、シャンプーしながら、大雪の日のことや運転免許試験のこと(会話a)、髪型の話、中目黒のイルミネーションのこと(会話b)、サッカーのこと(会話c)、髪型のこと、最近の若者の考え方について(会話d)などを話している。,valid,,,,,,
T020_022,T020,T020_022b,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年,7,2,0,以前から利用している美容院の美容師。髪型のことを話したあと、シャンプーしながら、大雪の日のことや運転免許試験のこと(会話a)、髪型の話、中目黒のイルミネーションのこと(会話b)、サッカーのこと(会話c)、髪型のこと、最近の若者の考え方について(会話d)などを話している。,,,,,,,
T020_022,T020,T020_022c,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年,8,2,0,以前から利用している美容院の美容師。髪型のことを話したあと、シャンプーしながら、大雪の日のことや運転免許試験のこと(会話a)、髪型の話、中目黒のイルミネーションのこと(会話b)、サッカーのこと(会話c)、髪型のこと、最近の若者の考え方について(会話d)などを話している。,,,,,,,
T020_022,T020,T020_022d,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年,19,2,0,以前から利用している美容院の美容師。髪型のことを話したあと、シャンプーしながら、大雪の日のことや運転免許試験のこと(会話a)、髪型の話、中目黒のイルミネーションのこと(会話b)、サッカーのこと(会話c)、髪型のこと、最近の若者の考え方について(会話d)などを話している。,,,,,,,
T021_002,T021,T021_002,自宅で友人とお茶をしながら,雑談,自宅,食事・付き合い,友人知人,2017年,20,2,0,親しい友人とお茶を飲みながら雑談。友人とは合唱サークルの練習のため毎週会う。サークルの冠婚葬祭の不祝儀のことや、協力者が集めてきた焼き物のこと、お互いの仕事のことなどを話している。,,,,,,,
T021_003,T021,T021_003,自宅で息子と雑談,雑談,自宅,食事,家族,2017年,16,2,0,長男が久しぶりに訪ねてきた。近況報告、年賀状注文などについて話している。,test,,,,,,
T021_005,T021,T021_005,自宅で友人とお茶をしながら,雑談,自宅,食事・付き合い,友人知人,2017年,21,2,0,友人は以前の職場の同僚で、年に1回ぐらい訪ねて来る。クリスマスプレゼントの交換、食べ物の話、転勤の話、北海道のこと、元の職場のことなど、様々なことを話している。,,,,,,,
T021_006,T021,T021_006,印刷会社で社長と印刷物について打合せ,用談・相談,職場_相手の職場,仕事,仕事関係,2017年,23,2,0,付き合いのある地元の印刷会社社長[[T015]]と印刷物依頼の打合せをし、地元の共通の知人のこと、葬儀場のこと、パソコンソフトのことなど、様々なことについて話している。,,,,,,,
T021_007,T021,T021_007,自宅で孫と雑談,雑談,自宅,休息,家族,2017年,5,2,0,比較的近所に住む孫(長男の娘)は月に1回程度泊まりに来る。中学受験のことや制服のことなどを話している。,,,,,,,
T021_011,T021,T021_011a,美容院で美容師と雑談,雑談,公共商業施設_商業施設,食事・身の周りの用事,サービス場面関係,2018年,14,2,0,10年程度担当してもらっている美容師。カット中の雑談。会話aでは、AIロボット、紅白歌合戦、髪型のこと、沖縄旅行の予定などについて話している。会話bでは、辞めた美容師、沖縄、美容師の帰省のこと、親子関係のことなどを話している。,,,,,,,
T021_011,T021,T021_011b,美容院で美容師と雑談,雑談,公共商業施設_商業施設,食事・身の周りの用事,サービス場面関係,2018年,12,2,0,10年程度担当してもらっている美容師。カット中の雑談。会話aでは、AIロボット、紅白歌合戦、髪型のこと、沖縄旅行の予定などについて話している。会話bでは、辞めた美容師、沖縄、美容師の帰省のこと、親子関係のことなどを話している。,,,,,,,
T021_014,T021,T021_014,自宅で配偶者と夕食を取りながら,雑談,自宅,食事,家族,2018年,43,2,0,友人の墓参り一泊旅行から戻り、お土産の餃子で夕食をとりながら報告をしている。亡くなった同郷の友人の奥さんと話したことやお土産に餃子をたくさんもたせてもらったこと、今回のお墓参りで協力者が感じたことなど。,,,,,,,
T021_016,T021,T021_016,自宅で親戚とお茶をしながら,雑談,自宅,食事・付き合い,親戚,2018年,38,2,0,夫のいとこの妻で月に数回会う間柄。食器、ストーブ、協力者が関わる市民講座のこと、習い事のこと、協力者のお墓参り一泊旅行のこと、協力者の夫のことなどを話している。,,,,,,,
T022_003,T022,T022_003,自宅で恋人と夕食を取りながら,雑談,自宅,食事,友人知人,2018年,17,2,0,TVを見ながら、その日の出来事や最近話題になっているニュースなどについて話している。,valid,,,,,,
T022_005,T022,T022_005,旅行帰りの列車内で恋人と雑談,雑談,交通機関_電車,移動,友人知人,2018年,16,2,0,夕飯に何を食べるかということや、スマートフォンを見ながら購入を検討している車のことなどについて話している。,,,,,,,
T022_007,T022,T022_007a,自宅からオンラインで友人と雑談,雑談,自宅,付き合い,友人知人,2018年,15,2,0,3ヶ月に1回程度連絡をとる高校時代の友人とオンライン会話システム(スカイプ)を使って雑談。会話aでは、高校時代の同級生など共通の友人と会ったことや、近況や、第九を合唱するメンバーのことなどについて話している。会話bでは、共通の友人のこと、昔の知り合いに最近連絡をとったこと、授業のことなどについて話している。,,,,,,,
T022_007,T022,T022_007b,自宅からオンラインで友人と雑談,雑談,自宅,付き合い,友人知人,2018年,14,2,0,3ヶ月に1回程度連絡をとる高校時代の友人とオンライン会話システム(スカイプ)を使って雑談。会話aでは、高校時代の同級生など共通の友人と会ったことや、近況や、第九を合唱するメンバーのことなどについて話している。会話bでは、共通の友人のこと、昔の知り合いに最近連絡をとったこと、授業のことなどについて話している。,,,,,,,
T022_009,T022,T022_009,自宅で恋人と夕食を取りながら,雑談,自宅,食事,友人知人,2018年,33,2,0,料理のこと、食材のこと、友人のこと、見ているTV番組に出ている人やニュース、場所のこと、持っている靴の色のことなどについて話している。,,,,,,,
T022_015,T022,T022_015,飲食店で友人と誕生日会,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年,11,2,0,居酒屋で大学時代の親友の誕生日会。パートナーのこと、共通の友人のオペラのことなどについて話している。,test,,,,,,
T022_017,T022,T022_017a,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年,16,2,0,7、8年通っている美容院。3ヶ月に1回ぐらい行く。会話aでは、髪型のこと、髪の性質のこと、仕事のこと、友人が遊びに来ること、会話bでは、友人が遊びに来る時の予定、劇団四季のこと、ミュージカルのことなどを話している。,,,,,,,
T022_017,T022,T022_017b,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年,9,2,0,7、8年通っている美容院。3ヶ月に1回ぐらい行く。会話aでは、髪型のこと、髪の性質のこと、仕事のこと、友人が遊びに来ること、会話bでは、友人が遊びに来る時の予定、劇団四季のこと、ミュージカルのことなどを話している。,,,,,,,
T023_001,T023,T023_001,自宅で配偶者と雑談,雑談,自宅,休息,家族,2018年,21,2,0,今日開催される長女の息子のお食い初めの集まりのことや、先日妻が関わった呈茶について話している。,,,,,,,
T023_007,T023,T023_007,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2018年,25,2,0,20年前に出向していた会社の上司と再会。上司とは何十年も会っていなかった。戸建の管理のことや、日本の相続問題のことなどを話している。,,,,,,,
T023_013,T023,T023_013,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2018年,16,2,0,旅行の途中の車内である。昔の同僚に会いに行く計画のことや、昔の同僚たちとゴルフ旅行に行く話、格安航空運賃のことなどを話している。,test,,,,,,
T023_017,T023,T023_017,元同僚と車で移動中,雑談,交通機関_車,移動,元同僚,2018年,22,2,0,車でゴルフに向かう途中の会話。渋滞している状況のこと、転職した元同僚のこと、アメリカにいるおいの就職のこと、いろいろな元同僚のことなどを話している。,,,,,,,
T023_020,T023,T023_020,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年,21,2,0,2年前に八丈島で知り合った友人と一年ぶりの再会である。娘一家が出産で泊まりに来ていたこと、アメリカにいる妹家族のこと、スマホのこと、お酒のこと、釣りやカラオケのことなど様々なことを話している。,,,,,,,
T024_008,T024,T024_008,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2018年,37,2,0,友人である同僚と居酒屋で食事をしながら雑談している。同僚とは年に一度程度このような機会をもつ。子どもの進学する学部のこと、出身地のこと、出張で行った九州のことなどを話している。,,,,,,,
W003_002,W003,W003_002,研究機関で中学生たちが昼食を取りながら,雑談,公共商業施設_公共施設,食事,友人知人,2019年,8,2,0,研究機関が主催する講義に参加した後、生徒たちが昼食を食べている。集合写真についてやこのあとの行程について話している。会話[W003_001]の講義のあと。,,,,,,,
W007_002,W007,W007_002,飲食店で撮影の打合せ,会議・会合,公共商業施設_飲食店,仕事,仕事関係,2020年,32,2,0,カフェで同業者が仕事の打合せ。2人は映像関係の仕事をしており、共同で仕事をすることが多い。(IC02)が上司・先輩、(IC01)が部下・後輩のような立場。(IC02)が単独で長期取材をしている合唱団の教会でのコンサートを収録することになり、(IC02)にカメラマンとしての参加を依頼してあった。ここでは、その撮影の仕方や機材の準備について話している。,,,,,,,
W009_002,W009,W009_002a,自宅で母・娘が雑談,雑談,自宅,休息,家族,2020年,17,2,0,会話aでは、スヌーピーミュージアム、スヌーピーのキャラクターの名前の話、会話bでは、フランス語文法の話をしている。,test,,,,,,
W009_002,W009,W009_002b,自宅で母・娘が雑談,雑談,自宅,休息,家族,2020年,25,2,0,会話aでは、スヌーピーミュージアム、スヌーピーのキャラクターの名前の話、会話bでは、フランス語文法の話をしている。,,,,,,,
W010_001,W010,W010_001a,事務所で書籍出版について打合せ,会議・会合,職場,仕事,仕事関係,2020年,35,2,0,2人は学生時代からの知り合いで、お互いに国語辞典に関する幅広い知識をもっている。話し合いをしている書籍も辞典に関するものである。そのため会話では辞典に関する用語が頻出する。話し合いの内容は、書籍のイラストを誰に描いてもらうかや、見出し語の選定等。,,,,,,,
W010_001,W010,W010_001b,事務所で書籍出版について打合せ,会議・会合,職場,仕事,仕事関係,2020年,13,2,0,2人は学生時代からの知り合いで、お互いに国語辞典に関する幅広い知識をもっている。話し合いをしている書籍も辞典に関するものである。そのため会話では辞典に関する用語が頻出する。話し合いの内容は、書籍のイラストを誰に描いてもらうかや、見出し語の選定等。,test,,,,,,